University Name,Course Name,Course Link,Deadline,Deadline Link
Rochester Institute of Technology,MS in Software Engineering,https://www.rit.edu/study/software-engineering-ms,https://www.rit.edu/admissions/graduate-admission-deadlines-and-requirements,On a rolling basis
Northeastern University,MS in Computer Science,https://www.ccis.northeastern.edu/program/computer-science-ms/,"1. For fall semester admission, your application deadline is May 1 (except for the Silicon Valley and Charlotte campuses, which have a deadline of June 1).
 2. For spring semester admission, your application is due October 15.","1. For fall semester admission, your application deadline is May 1 (except for the Silicon Valley and Charlotte campuses, which have a deadline of June 1).
 2. For spring semester admission, your application is due October 15."
"California State University, East Bay",MS in CS,http://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7757&returnto=12552,http://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577#admission-procedures,"Spring - Oct 1
 Fall - May 1"
"California State University, Sacramento",MS in CS,https://www.ecs.csus.edu/csc/academic/graduateprograms.html,"March 1, 2022",March 1 2022
"California State University, Long Beach",MS in CS,https://www.csulb.edu/college-of-engineering/cecs-graduate-programs,http://www.ccpe.csulb.edu/International/about.aspx?pID=7,April 15 2022
"California State University, LA",MS in CS,http://www.calstatela.edu/ecst/cs/admission,http://www.calstatela.edu/ecst/cs/admission,Feb 15 2022
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://eecs.ceas.uc.edu/graduate,Jan 15 2022
Drexel University,MS in CS,https://drexel.edu/cci/academics/programs/graduate-programs/ms-in-computer-science/,https://drexel.edu/cci/admissions/graduate-professional-development/admissions-information-and-requirements/admissions-deadlines/,"Winter- Nov 1, Spring- Feb 1"
University of Connecticut,MS in CS,https://www.cse.uconn.edu/graduate-studies/m-s-degree-program/,https://www.cse.uconn.edu/graduate-studies/how-to-apply/,"Fall admissions deadline. Applications for Fall admission must be received by January 1.
 Spring admissions deadline. Applications for Spring admission must be received by September 1."
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://eecs.ceas.uc.edu/graduate,Jan 15 2022
University of Connecticut,MS in CS,https://www.cse.uconn.edu/graduate-studies/m-s-degree-program/,https://www.cse.uconn.edu/graduate-studies/how-to-apply/,"Fall admissions deadline. Applications for Fall admission must be received by January 1.
 Spring admissions deadline. Applications for Spring admission must be received by September 1."
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://eecs.ceas.uc.edu/graduate,Jan 15 2022
Southern Methodist Unviersity,MS in CS,https://www.smu.edu/Lyle/Departments/CSE/DegreePrograms/MS_CSE,https://www.smu.edu/Lyle/Apply-Now/Graduate-Admissions/Apply,"Spring- Sep 1, Fall- May 15"
Temple University,MS in CS,https://cis.temple.edu/programs/cis,https://bulletin.temple.edu/graduate/scd/cst/computer-science-ms/#admissiontext,"Fall- Dec 15, Spring- August 1"
Ohio State University,MS in CS,https://cse.osu.edu/current-students/master-science-program,"Applications seeking admission with financial support: deadline December 1 (All application and supporting materials should be in place).
 Applications seeking admission only: deadline January 31 (All application and supporting materials should be in place).","Applications seeking admission with financial support: deadline December 1 (All application and supporting materials should be in place).
 Applications seeking admission only: deadline January 31 (All application and supporting materials should be in place)."
"University of Wisconsin, Madison,",MS in CS,https://www.cs.wisc.edu/graduate/grad-overview/,https://www.cs.wisc.edu/graduate/ms-and-phd-program/,Fall- Dec 15
